location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
<<<<<<< HEAD
DE,00+,2023-01-16,2022-12-19,-28 day ahead inc hosp,quantile,0.025,12351,COVID-19
DE,00+,2023-01-16,2022-12-19,-28 day ahead inc hosp,quantile,0.1,12364,COVID-19
DE,00+,2023-01-16,2022-12-19,-28 day ahead inc hosp,quantile,0.25,12377,COVID-19
DE,00+,2023-01-16,2022-12-19,-28 day ahead inc hosp,quantile,0.5,12393,COVID-19
DE,00+,2023-01-16,2022-12-19,-28 day ahead inc hosp,quantile,0.75,12411,COVID-19
DE,00+,2023-01-16,2022-12-19,-28 day ahead inc hosp,quantile,0.9,12430,COVID-19
DE,00+,2023-01-16,2022-12-19,-28 day ahead inc hosp,quantile,0.975,12452,COVID-19
DE,00+,2023-01-16,2022-12-19,-28 day ahead inc hosp,mean,NA,12395.11775,COVID-19
DE,00+,2023-01-16,2022-12-20,-27 day ahead inc hosp,quantile,0.025,12610,COVID-19
DE,00+,2023-01-16,2022-12-20,-27 day ahead inc hosp,quantile,0.1,12625,COVID-19
DE,00+,2023-01-16,2022-12-20,-27 day ahead inc hosp,quantile,0.25,12640,COVID-19
DE,00+,2023-01-16,2022-12-20,-27 day ahead inc hosp,quantile,0.5,12659,COVID-19
DE,00+,2023-01-16,2022-12-20,-27 day ahead inc hosp,quantile,0.75,12680,COVID-19
DE,00+,2023-01-16,2022-12-20,-27 day ahead inc hosp,quantile,0.9,12701,COVID-19
DE,00+,2023-01-16,2022-12-20,-27 day ahead inc hosp,quantile,0.975,12724,COVID-19
DE,00+,2023-01-16,2022-12-20,-27 day ahead inc hosp,mean,NA,12661.38025,COVID-19
DE,00+,2023-01-16,2022-12-21,-26 day ahead inc hosp,quantile,0.025,13064,COVID-19
DE,00+,2023-01-16,2022-12-21,-26 day ahead inc hosp,quantile,0.1,13082,COVID-19
DE,00+,2023-01-16,2022-12-21,-26 day ahead inc hosp,quantile,0.25,13101,COVID-19
DE,00+,2023-01-16,2022-12-21,-26 day ahead inc hosp,quantile,0.5,13123,COVID-19
DE,00+,2023-01-16,2022-12-21,-26 day ahead inc hosp,quantile,0.75,13147,COVID-19
DE,00+,2023-01-16,2022-12-21,-26 day ahead inc hosp,quantile,0.9,13170,COVID-19
DE,00+,2023-01-16,2022-12-21,-26 day ahead inc hosp,quantile,0.975,13202,COVID-19
DE,00+,2023-01-16,2022-12-21,-26 day ahead inc hosp,mean,NA,13125.30875,COVID-19
DE,00+,2023-01-16,2022-12-22,-25 day ahead inc hosp,quantile,0.025,13433,COVID-19
DE,00+,2023-01-16,2022-12-22,-25 day ahead inc hosp,quantile,0.1,13454,COVID-19
DE,00+,2023-01-16,2022-12-22,-25 day ahead inc hosp,quantile,0.25,13475,COVID-19
DE,00+,2023-01-16,2022-12-22,-25 day ahead inc hosp,quantile,0.5,13499,COVID-19
DE,00+,2023-01-16,2022-12-22,-25 day ahead inc hosp,quantile,0.75,13528,COVID-19
DE,00+,2023-01-16,2022-12-22,-25 day ahead inc hosp,quantile,0.9,13555,COVID-19
DE,00+,2023-01-16,2022-12-22,-25 day ahead inc hosp,quantile,0.975,13590.025,COVID-19
DE,00+,2023-01-16,2022-12-22,-25 day ahead inc hosp,mean,NA,13502.6875,COVID-19
DE,00+,2023-01-16,2022-12-23,-24 day ahead inc hosp,quantile,0.025,13686,COVID-19
DE,00+,2023-01-16,2022-12-23,-24 day ahead inc hosp,quantile,0.1,13711,COVID-19
DE,00+,2023-01-16,2022-12-23,-24 day ahead inc hosp,quantile,0.25,13734,COVID-19
DE,00+,2023-01-16,2022-12-23,-24 day ahead inc hosp,quantile,0.5,13764,COVID-19
DE,00+,2023-01-16,2022-12-23,-24 day ahead inc hosp,quantile,0.75,13795,COVID-19
DE,00+,2023-01-16,2022-12-23,-24 day ahead inc hosp,quantile,0.9,13827,COVID-19
